id,text,cleaned_text,created_at,cluster_label,cluster_id
2038443619456352300,"🌧️ ಬೆಂಗಳೂರು ಮಳೆ 🌧️✨ Bengaluru Rains ✨🌧️ 

🎥 Whether it’s the sound of raindrops, the rush of traffic, or the calm of home balconies, t

#BengaluruRains #MonsoonVibes #BangaloreWeather #RainyDayMood #ViralReel
                 https://t.co/6jd7MicSPC",bengaluru rains whether its the sound of raindrops the rush of traffic or the calm of home balconies t bengalururains monsoonvibes bangaloreweather rainydaymood viralreel,2026-03-30 02:30:05+00:00,Tier 1 City Problems,0
2037573662027743283,"If traffic wasn’t enough, now what's with the heat waves !!! It's so f..kng hot in Bengaluru now. #Blr",if traffic wasnt enough now whats with the heat waves its so fkng hot in bengaluru now blr,2026-03-27 16:53:11+00:00,Tier 1 City Problems,0
2037861942648545305,"Stuck in traffic on Bellary Rd, Bengaluru again this afternoon for some VIP convoy. How frequently do you stop in traffic jams to give way to 'VIP convoys'?

 https://t.co/C9jw7hPC5Z via @YouTube",stuck in traffic on bellary rd bengaluru again this afternoon for some vip convoy how frequently do you stop in traffic jams to give way to vip convoys via,2026-03-28 11:58:43+00:00,Tier 1 City Problems,0
2037920976298758508,#RCBvsSRH Stuck in Bengaluru traffic!! Call Phil Salt....,rcbvssrh stuck in bengaluru traffic call phil salt,2026-03-28 15:53:18+00:00,Tier 1 City Problems,0
2037879089483440344,All roads in Bengaluru converge at the Chinnaswamy today. So please avoid going through that route. U will be stuck in traffic for ages altogether.,all roads in bengaluru converge at the chinnaswamy today so please avoid going through that route u will be stuck in traffic for ages altogether,2026-03-28 13:06:51+00:00,Tier 1 City Problems,0
2037825106148561132,The Banashankari bus stop to NICE Road Kanakapura stretch is hands down the worst road in Bengaluru South — sharp turns every 50m and chaotic traffic merging from all sides. A daily nightmare. 🚗😤 #Bengaluru #BangaloreRoads,the banashankari bus stop to nice road kanakapura stretch is hands down the worst road in bengaluru south sharp turns every 50m and chaotic traffic merging from all sides a daily nightmare bengaluru bangaloreroads,2026-03-28 09:32:20+00:00,Tier 1 City Problems,0
2037810392790135138,"Tier 1 cities like Delhi, Mumbai, Bengaluru are the worst places to live. It's like a constant war, lawlessness, hostility, road rage &amp; accidents, unaffordable rent &amp; education fees, adulterated food, pollution, traffic and list never stops. https://t.co/E58QJRkRjI",tier 1 cities like delhi mumbai bengaluru are the worst places to live its like a constant war lawlessness hostility road rage amp accidents unaffordable rent amp education fees adulterated food pollution traffic and list never stops,2026-03-28 08:33:52+00:00,Tier 1 City Problems,0
2038036596331868286,"Top Cities People Are Leaving (Outmigration Hotspots) 🚶‍♂️

Mumbai ~ Too Expensive 💸
Delhi ~ Pollution + Stress 🌫️
Bengaluru ~ Traffic Nightmare 🚗
Kolkata ~ Limited Job Growth 📉
Chennai ~ Climate Challenges 🌡️
Hyderabad ~ Rising Costs 💰
Pune ~ Overcrowding 🏙️
Gurgaon ~ High",top cities people are leaving outmigration hotspots mumbai too expensive delhi pollution stress bengaluru traffic nightmare kolkata limited job growth chennai climate challenges hyderabad rising costs pune overcrowding gurgaon high,2026-03-28 23:32:44+00:00,Tier 1 City Problems,0
2037529833815839079,Remove Traffic and language Chauvinists from Bengaluru. It will surpass even Newyork and Amsterdam in livability. https://t.co/jAhbJXFojN,remove traffic and language chauvinists from bengaluru it will surpass even newyork and amsterdam in livability,2026-03-27 13:59:02+00:00,Tier 1 City Problems,0
2037952483314827647,Bengaluru is heaven for bachelors if traffic is removed.,bengaluru is heaven for bachelors if traffic is removed,2026-03-28 17:58:30+00:00,Tier 1 City Problems,0
